epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.346,2.38701,6.7699,1.61271,0.52344,0.25292,0.21432,0.10266,2.18886,4.2174,1.54748,0.0001764,0.0001764,0.0001764
2,124.807,1.9859,2.64059,1.39244,0.7797,0.38334,0.44891,0.19881,2.00737,2.44557,1.4691,0.000355129,0.000355129,0.000355129
3,206.197,1.87942,1.96694,1.35344,0.80291,0.3359,0.52236,0.23954,1.93558,2.2769,1.41624,0.000530249,0.000530249,0.000530249
4,278.884,1.85683,1.66979,1.34394,0.72517,0.56841,0.635,0.28367,1.93389,1.4234,1.39375,0.000570536,0.000570536,0.000570536
5,349.766,1.76956,1.50825,1.28972,0.78443,0.65404,0.69304,0.3313,1.81447,1.18511,1.34608,0.000564715,0.000564715,0.000564715
6,424.736,1.70384,1.30625,1.27387,0.75377,0.66155,0.71159,0.35357,1.80295,1.08458,1.33897,0.000558894,0.000558894,0.000558894
7,501.387,1.69709,1.27243,1.25369,0.83946,0.62721,0.70892,0.34907,1.8115,1.08434,1.35657,0.000553073,0.000553073,0.000553073
8,581.617,1.71821,1.15226,1.27414,0.70266,0.68844,0.71415,0.383,1.75727,0.97646,1.32015,0.000547252,0.000547252,0.000547252
9,662.064,1.686,1.126,1.23913,0.69221,0.74238,0.73412,0.37454,1.78344,0.98792,1.33732,0.00054143,0.00054143,0.00054143
10,736.797,1.65582,1.07407,1.24163,0.73489,0.68759,0.7546,0.381,1.75189,0.94988,1.32064,0.000535609,0.000535609,0.000535609
11,807.884,1.59349,1.00115,1.19511,0.7996,0.7389,0.75563,0.35924,1.81561,0.91918,1.36057,0.000529788,0.000529788,0.000529788
12,882.877,1.5825,1.00045,1.19882,0.65933,0.75763,0.75718,0.35967,1.80902,0.92182,1.36456,0.000523967,0.000523967,0.000523967
13,959.521,1.5558,0.94766,1.19665,0.92734,0.68379,0.78235,0.37525,1.73774,0.84927,1.30295,0.000518146,0.000518146,0.000518146
14,1032.69,1.54259,0.91651,1.17839,0.68067,0.79477,0.75914,0.36104,1.84163,0.87075,1.35573,0.000512324,0.000512324,0.000512324
15,1108.73,1.53669,0.89691,1.1801,0.69645,0.80321,0.75068,0.38244,1.80314,0.83848,1.32738,0.000506503,0.000506503,0.000506503
16,1187.83,1.51251,0.85657,1.17791,0.75028,0.76121,0.76504,0.39566,1.68185,0.79392,1.28512,0.000500682,0.000500682,0.000500682
17,1271.42,1.51399,0.90002,1.16005,0.75793,0.74382,0.77226,0.37392,1.8223,0.83261,1.36816,0.000494861,0.000494861,0.000494861
18,1344.01,1.51402,0.85345,1.17643,0.69112,0.79634,0.77959,0.35322,1.88182,0.8569,1.37481,0.00048904,0.00048904,0.00048904
19,1414.24,1.48474,0.85144,1.15601,0.83581,0.69742,0.77437,0.37869,1.75401,0.8722,1.29488,0.000483218,0.000483218,0.000483218
20,1484.25,1.48708,0.82189,1.1669,0.77043,0.83407,0.80006,0.38511,1.74896,0.80986,1.3071,0.000477397,0.000477397,0.000477397
21,1561.43,1.45653,0.83016,1.1494,0.75532,0.78793,0.79234,0.40228,1.7494,0.82906,1.30275,0.000471576,0.000471576,0.000471576
22,1646.64,1.46845,0.78893,1.13999,0.86591,0.72917,0.79329,0.3748,1.78819,0.82617,1.33338,0.000465755,0.000465755,0.000465755
23,1738.57,1.44687,0.79767,1.14322,0.87091,0.76321,0.8146,0.38674,1.73103,0.76674,1.31211,0.000459934,0.000459934,0.000459934
24,1837.56,1.40556,0.78347,1.11281,0.7642,0.79692,0.79454,0.3924,1.71892,0.77862,1.29281,0.000454112,0.000454112,0.000454112
25,1929.88,1.39301,0.74519,1.11371,0.80684,0.78731,0.79425,0.34586,1.93877,0.86673,1.44129,0.000448291,0.000448291,0.000448291
26,2001.25,1.39663,0.74716,1.11511,0.80361,0.79983,0.83118,0.40021,1.7405,0.77159,1.33807,0.00044247,0.00044247,0.00044247
27,2088.59,1.37677,0.73427,1.10889,0.70876,0.85599,0.8066,0.42001,1.67258,0.77411,1.28509,0.000436649,0.000436649,0.000436649
28,2190.36,1.33988,0.73451,1.09076,0.77788,0.85211,0.83179,0.40278,1.71639,0.73126,1.31151,0.000430828,0.000430828,0.000430828
29,2294.55,1.36486,0.7299,1.09948,0.88778,0.73938,0.8278,0.40743,1.72819,0.7627,1.30838,0.000425006,0.000425006,0.000425006
30,2400.57,1.33109,0.70087,1.09539,0.79165,0.82759,0.82055,0.40837,1.73377,0.76053,1.3005,0.000419185,0.000419185,0.000419185
31,2484.83,1.40116,0.7058,1.1274,0.76366,0.80128,0.78511,0.37758,1.84684,0.77667,1.362,0.000413364,0.000413364,0.000413364
32,2558.64,1.33869,0.68801,1.09921,0.77713,0.79355,0.82382,0.40291,1.75312,0.75254,1.31737,0.000407543,0.000407543,0.000407543
33,2631.25,1.32738,0.68772,1.07599,0.82065,0.7922,0.80255,0.37546,1.82733,0.74549,1.35836,0.000401722,0.000401722,0.000401722
34,2720.74,1.30158,0.68404,1.07279,0.78494,0.81147,0.80357,0.40509,1.72136,0.74853,1.29884,0.0003959,0.0003959,0.0003959
35,2809.19,1.30539,0.68895,1.07254,0.76471,0.86675,0.83288,0.38451,1.82596,0.76847,1.37236,0.000390079,0.000390079,0.000390079
36,2886.36,1.31314,0.70166,1.08865,0.78155,0.85363,0.82644,0.40467,1.71642,0.7561,1.30054,0.000384258,0.000384258,0.000384258
37,2959.99,1.24992,0.64695,1.04899,0.73415,0.85562,0.82722,0.41862,1.69513,0.78301,1.28714,0.000378437,0.000378437,0.000378437
38,3028.53,1.24845,0.64132,1.04071,0.80239,0.79536,0.82096,0.42126,1.69585,0.77357,1.29476,0.000372616,0.000372616,0.000372616
39,3097.24,1.27555,0.6423,1.04927,0.78785,0.87492,0.86751,0.43729,1.70719,0.76162,1.3029,0.000366794,0.000366794,0.000366794
40,3164.9,1.26302,0.6561,1.05156,0.77021,0.82508,0.83579,0.39624,1.79399,0.76072,1.33668,0.000360973,0.000360973,0.000360973
41,3235.86,1.23618,0.65014,1.06073,0.83653,0.77228,0.81997,0.39487,1.81148,0.71191,1.37407,0.000355152,0.000355152,0.000355152
42,3303.73,1.21455,0.61854,1.04271,0.81854,0.79616,0.81543,0.38609,1.74876,0.73076,1.32251,0.000349331,0.000349331,0.000349331
43,3373.59,1.19763,0.62234,1.03707,0.80254,0.79695,0.81717,0.39261,1.73683,0.71243,1.3069,0.00034351,0.00034351,0.00034351
44,3442.2,1.21287,0.61766,1.05338,0.81546,0.85435,0.86608,0.40077,1.74455,0.7261,1.30657,0.000337688,0.000337688,0.000337688
45,3508.64,1.17808,0.60349,1.01135,0.7939,0.83299,0.82397,0.39916,1.73902,0.72942,1.31695,0.000331867,0.000331867,0.000331867
46,3575.28,1.20995,0.60441,1.0312,0.79953,0.82576,0.82919,0.40375,1.73534,0.71837,1.32662,0.000326046,0.000326046,0.000326046
47,3640.23,1.14906,0.59662,1.03735,0.84518,0.80415,0.83145,0.38656,1.795,0.74996,1.35796,0.000320225,0.000320225,0.000320225
48,3708.41,1.14846,0.60211,1.01189,0.88857,0.78661,0.85375,0.39014,1.73216,0.76363,1.33159,0.000314404,0.000314404,0.000314404
49,3779.65,1.15746,0.58741,1.02065,0.85824,0.84134,0.86614,0.40359,1.74901,0.76596,1.32667,0.000308582,0.000308582,0.000308582
50,3846.19,1.13758,0.59641,1.00923,0.85203,0.8203,0.84316,0.39067,1.73265,0.70601,1.34604,0.000302761,0.000302761,0.000302761
51,3912.71,1.14781,0.58861,1.01597,0.82182,0.80609,0.84079,0.37479,1.80984,0.76119,1.35918,0.00029694,0.00029694,0.00029694
52,3979.29,1.13683,0.5834,1.0099,0.8641,0.82184,0.85045,0.38321,1.79973,0.74058,1.36171,0.000291119,0.000291119,0.000291119
53,4045.42,1.13061,0.60672,1.00371,0.8614,0.82436,0.83645,0.39931,1.73398,0.70724,1.31502,0.000285298,0.000285298,0.000285298
54,4111.62,1.11488,0.56823,0.99879,0.84639,0.87823,0.85569,0.40481,1.77204,0.69399,1.34034,0.000279476,0.000279476,0.000279476
55,4178.79,1.11475,0.54286,1.00029,0.86617,0.85891,0.8819,0.41965,1.76318,0.69257,1.34592,0.000273655,0.000273655,0.000273655
56,4245.49,1.1086,0.55314,0.9861,0.8543,0.86189,0.87953,0.42225,1.7393,0.68052,1.33422,0.000267834,0.000267834,0.000267834
57,4313.44,1.06811,0.54217,0.98524,0.85311,0.85907,0.87516,0.40756,1.77701,0.68913,1.35977,0.000262013,0.000262013,0.000262013
58,4380.9,1.06818,0.55244,0.97276,0.85204,0.8249,0.85787,0.38646,1.78199,0.70114,1.36641,0.000256192,0.000256192,0.000256192
59,4447.35,1.04004,0.51792,0.98297,0.84092,0.87685,0.86095,0.40176,1.76638,0.69321,1.358,0.00025037,0.00025037,0.00025037
60,4513.54,1.07618,0.54628,0.99477,0.8434,0.81142,0.85189,0.39349,1.75509,0.72766,1.34873,0.000244549,0.000244549,0.000244549
61,4581.8,1.0701,0.53984,0.97477,0.80477,0.85827,0.83339,0.39559,1.76535,0.69943,1.38109,0.000238728,0.000238728,0.000238728
62,4650.32,1.05605,0.53275,0.97808,0.86754,0.83693,0.85412,0.39878,1.74677,0.71085,1.347,0.000232907,0.000232907,0.000232907
63,4719.69,1.0207,0.5292,0.96239,0.89932,0.85018,0.88841,0.40039,1.74934,0.69196,1.34081,0.000227086,0.000227086,0.000227086
64,4790.63,1.01647,0.52248,0.96068,0.88307,0.843,0.86908,0.40186,1.74701,0.72692,1.32811,0.000221264,0.000221264,0.000221264
65,4863.98,1.03288,0.53065,0.96524,0.83869,0.84221,0.87213,0.42087,1.69447,0.68667,1.32097,0.000215443,0.000215443,0.000215443
66,4934.34,1.01716,0.52415,0.96085,0.92541,0.83259,0.87454,0.42321,1.72525,0.6789,1.34653,0.000209622,0.000209622,0.000209622
67,5004.15,1.0047,0.51971,0.96657,0.89782,0.85764,0.88227,0.40798,1.76042,0.68818,1.36176,0.000203801,0.000203801,0.000203801
68,5074.45,0.99261,0.51458,0.9463,0.91126,0.84995,0.87347,0.43055,1.67911,0.66643,1.30829,0.00019798,0.00019798,0.00019798
69,5146.79,0.98697,0.4971,0.95181,0.87913,0.84953,0.86393,0.4139,1.72161,0.69661,1.33828,0.000192158,0.000192158,0.000192158
70,5217.95,0.97298,0.49381,0.95716,0.88142,0.857,0.88786,0.41007,1.74755,0.68795,1.34273,0.000186337,0.000186337,0.000186337
71,5289.94,0.97589,0.49739,0.94689,0.92437,0.84185,0.89245,0.41752,1.75885,0.70195,1.34822,0.000180516,0.000180516,0.000180516
72,5367.27,0.95989,0.49351,0.94587,0.91518,0.8318,0.88879,0.41793,1.76905,0.69956,1.35076,0.000174695,0.000174695,0.000174695
73,5440.4,0.97504,0.48888,0.9369,0.84801,0.86232,0.88217,0.42744,1.73116,0.69902,1.34364,0.000168874,0.000168874,0.000168874
74,5510.07,0.95801,0.49402,0.93786,0.90869,0.83822,0.88326,0.41603,1.73318,0.69679,1.34997,0.000163052,0.000163052,0.000163052
75,5580.44,0.95123,0.49161,0.93569,0.92084,0.82328,0.88811,0.40822,1.72761,0.69926,1.33729,0.000157231,0.000157231,0.000157231
76,5653.72,0.93484,0.46922,0.94194,0.92292,0.82605,0.87896,0.42253,1.77304,0.72034,1.37042,0.00015141,0.00015141,0.00015141
77,5724.56,0.92922,0.47873,0.92477,0.90521,0.81034,0.8782,0.40235,1.75038,0.71415,1.37488,0.000145589,0.000145589,0.000145589
78,5795.67,0.93115,0.48131,0.93268,0.90941,0.80566,0.86878,0.40328,1.7497,0.71293,1.36323,0.000139768,0.000139768,0.000139768
79,5867.45,0.92569,0.47819,0.93129,0.91712,0.85534,0.89636,0.40686,1.75684,0.70869,1.37218,0.000133946,0.000133946,0.000133946
80,5938.47,0.9174,0.47233,0.93333,0.94786,0.85586,0.90342,0.40721,1.75037,0.70073,1.36545,0.000128125,0.000128125,0.000128125
81,6011.43,0.89682,0.45849,0.92482,0.9179,0.85876,0.89874,0.4083,1.75347,0.68762,1.36749,0.000122304,0.000122304,0.000122304
82,6088.72,0.91166,0.46463,0.91236,0.90007,0.8537,0.89507,0.40705,1.76255,0.69212,1.37753,0.000116483,0.000116483,0.000116483
83,6160.59,0.88221,0.46456,0.91971,0.87763,0.86861,0.90225,0.40845,1.72801,0.67127,1.35738,0.000110662,0.000110662,0.000110662
84,6233.2,0.88689,0.46236,0.91222,0.91149,0.8349,0.89667,0.40973,1.75649,0.69655,1.37461,0.00010484,0.00010484,0.00010484
85,6305.21,0.88682,0.46213,0.92341,0.88006,0.89912,0.91239,0.42644,1.72768,0.68226,1.3557,9.90192e-05,9.90192e-05,9.90192e-05
86,6375.56,0.86819,0.45231,0.91334,0.87785,0.89285,0.905,0.41173,1.76739,0.69225,1.38908,9.3198e-05,9.3198e-05,9.3198e-05
87,6448.37,0.85047,0.44421,0.91046,0.91229,0.84776,0.90223,0.40809,1.74757,0.68925,1.37123,8.73768e-05,8.73768e-05,8.73768e-05
88,6518.94,0.85992,0.44329,0.91293,0.92369,0.86025,0.90018,0.40606,1.7543,0.69966,1.38063,8.15556e-05,8.15556e-05,8.15556e-05
89,6589.97,0.85085,0.44073,0.90652,0.92632,0.85223,0.8885,0.40698,1.76318,0.71309,1.38923,7.57344e-05,7.57344e-05,7.57344e-05
90,6659.44,0.84195,0.43796,0.91319,0.92436,0.85469,0.90384,0.41988,1.72642,0.68178,1.35387,6.99132e-05,6.99132e-05,6.99132e-05
91,6737.71,0.88402,0.445,0.95182,0.87301,0.85804,0.87915,0.39682,1.77731,0.71339,1.41996,6.4092e-05,6.4092e-05,6.4092e-05
92,6817.39,0.84551,0.42423,0.93355,0.88406,0.84291,0.89051,0.40639,1.73813,0.69683,1.39249,5.82708e-05,5.82708e-05,5.82708e-05
93,6892.07,0.81453,0.41407,0.92063,0.88544,0.82068,0.87151,0.39526,1.7638,0.70726,1.41133,5.24496e-05,5.24496e-05,5.24496e-05
94,6965.44,0.80267,0.41179,0.90703,0.87462,0.8177,0.87591,0.40609,1.72627,0.69964,1.38164,4.66284e-05,4.66284e-05,4.66284e-05
95,7038.88,0.78806,0.40153,0.90913,0.86647,0.847,0.88381,0.40562,1.73995,0.70321,1.395,4.08072e-05,4.08072e-05,4.08072e-05
96,7111.65,0.7758,0.39425,0.90602,0.8715,0.83046,0.86141,0.3982,1.7372,0.71328,1.39315,3.4986e-05,3.4986e-05,3.4986e-05
97,7185.44,0.77713,0.39673,0.92283,0.87358,0.83265,0.86081,0.39959,1.73573,0.70976,1.39152,2.91648e-05,2.91648e-05,2.91648e-05
98,7265.69,0.75469,0.3883,0.90851,0.89819,0.81514,0.86119,0.40405,1.7343,0.71004,1.39123,2.33436e-05,2.33436e-05,2.33436e-05
99,7340.17,0.74711,0.38912,0.89328,0.86428,0.85133,0.86051,0.40454,1.72708,0.70978,1.38718,1.75224e-05,1.75224e-05,1.75224e-05
100,7416.55,0.77133,0.39708,0.90324,0.86652,0.84661,0.86673,0.40354,1.73091,0.71175,1.38888,1.17012e-05,1.17012e-05,1.17012e-05
