epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5611,2.47363,5.25997,1.56434,5e-05,0.00595,0,0,2.16208,4.95341,1.41726,0.00013566,0.00013566,0.00013566
2,54.8566,2.28002,4.33183,1.33608,0.00621,0.30085,0.05374,0.02879,2.01682,4.4806,1.28374,0.000275703,0.000275703,0.000275703
3,76.2081,2.06504,3.19446,1.25166,0.01011,0.44336,0.23831,0.11944,1.94972,4.04265,1.3447,0.000412919,0.000412919,0.000412919
4,99.0802,2.02225,2.88409,1.24987,0.01307,0.49474,0.28025,0.13361,2.09971,3.81067,1.41737,0.000547307,0.000547307,0.000547307
5,127.445,1.94392,2.56919,1.25661,0.8798,0.1005,0.31992,0.15138,1.93904,3.88762,1.31129,0.000678868,0.000678868,0.000678868
6,155.692,1.92887,2.38891,1.25009,0.90817,0.26754,0.42748,0.20261,1.89214,2.86671,1.30613,0.000678657,0.000678657,0.000678657
7,180.458,1.81342,2.16538,1.21757,0.68757,0.35284,0.45862,0.23237,1.94982,2.62168,1.32862,0.000671588,0.000671588,0.000671588
8,207.113,1.85704,2.17591,1.23988,0.83164,0.49058,0.52888,0.25521,1.9004,2.11637,1.28715,0.00066452,0.00066452,0.00066452
9,236.138,1.80461,1.98863,1.22204,0.7048,0.48747,0.52364,0.24266,1.95194,2.15322,1.32998,0.000657451,0.000657451,0.000657451
10,263.252,1.80159,1.94136,1.20839,0.73424,0.52365,0.60077,0.29663,1.88706,1.92166,1.33371,0.000650383,0.000650383,0.000650383
11,290.731,1.74672,1.765,1.18897,0.83674,0.4788,0.54329,0.27331,1.94228,1.8801,1.38908,0.000643314,0.000643314,0.000643314
12,316.63,1.7496,1.74799,1.1611,0.76907,0.55455,0.59691,0.29526,1.87137,1.83136,1.31787,0.000636245,0.000636245,0.000636245
13,341.21,1.73216,1.65597,1.18976,0.79442,0.57859,0.60281,0.30969,1.86934,1.67571,1.34155,0.000629177,0.000629177,0.000629177
14,365.152,1.66921,1.54163,1.19255,0.75357,0.56457,0.63382,0.32366,1.79684,1.59787,1.29649,0.000622108,0.000622108,0.000622108
15,388.177,1.68257,1.47988,1.17075,0.70459,0.57416,0.63708,0.31872,1.81415,1.52925,1.29347,0.00061504,0.00061504,0.00061504
16,411.624,1.66783,1.5137,1.16993,0.7,0.6463,0.67275,0.33739,1.85855,1.39774,1.3137,0.000607971,0.000607971,0.000607971
17,433.979,1.61556,1.42716,1.15216,0.60596,0.63416,0.68337,0.34702,1.79448,1.3561,1.28302,0.000600902,0.000600902,0.000600902
18,456.395,1.6015,1.43449,1.14989,0.76859,0.61693,0.69546,0.34333,1.87742,1.40984,1.32604,0.000593834,0.000593834,0.000593834
19,479.973,1.60167,1.40932,1.12562,0.74696,0.71897,0.72997,0.3632,1.81882,1.31709,1.31811,0.000586765,0.000586765,0.000586765
20,503.726,1.62831,1.3927,1.14372,0.89663,0.66635,0.72415,0.35839,1.83679,1.31236,1.32999,0.000579697,0.000579697,0.000579697
21,526.031,1.59437,1.33483,1.13127,0.75538,0.67117,0.69679,0.32619,1.95679,1.32786,1.39703,0.000572628,0.000572628,0.000572628
22,547.547,1.53895,1.23995,1.12393,0.73121,0.65521,0.69608,0.3312,1.87824,1.2916,1.33599,0.000565559,0.000565559,0.000565559
23,569.202,1.56168,1.23916,1.11998,0.87076,0.65933,0.7398,0.38244,1.76208,1.2208,1.29515,0.000558491,0.000558491,0.000558491
24,591.224,1.50048,1.15789,1.1167,0.7876,0.73085,0.73857,0.39639,1.72852,1.1728,1.26584,0.000551422,0.000551422,0.000551422
25,615.136,1.49907,1.15086,1.12111,0.8415,0.64697,0.71023,0.36926,1.81022,1.20504,1.30227,0.000544354,0.000544354,0.000544354
26,637.94,1.52584,1.185,1.10657,0.75329,0.7222,0.71997,0.32957,1.86367,1.2228,1.31803,0.000537285,0.000537285,0.000537285
27,661.689,1.53767,1.1747,1.10064,0.87117,0.6936,0.76141,0.35344,1.8179,1.19576,1.31169,0.000530216,0.000530216,0.000530216
28,683.808,1.52421,1.15224,1.1121,0.83497,0.73355,0.77516,0.37173,1.82181,1.16354,1.30509,0.000523148,0.000523148,0.000523148
29,706.323,1.53738,1.12234,1.09901,0.86579,0.69568,0.75226,0.38646,1.74364,1.1132,1.26168,0.000516079,0.000516079,0.000516079
30,730.106,1.51473,1.11735,1.08002,0.83053,0.72278,0.75164,0.37749,1.76608,1.0899,1.27689,0.000509011,0.000509011,0.000509011
31,753.047,1.52335,1.08296,1.10438,0.74536,0.67627,0.71872,0.36957,1.709,1.17387,1.22999,0.000501942,0.000501942,0.000501942
32,775.209,1.45691,1.05045,1.0819,0.7742,0.71613,0.72728,0.3807,1.73525,1.09316,1.26142,0.000494873,0.000494873,0.000494873
33,797.788,1.43014,1.02479,1.0716,0.78389,0.67228,0.72909,0.36955,1.74044,1.0733,1.26825,0.000487805,0.000487805,0.000487805
34,820.044,1.47406,1.03957,1.07435,0.812,0.66917,0.73864,0.35172,1.85521,1.07178,1.30768,0.000480736,0.000480736,0.000480736
35,844.023,1.44849,1.03844,1.06509,0.78824,0.68731,0.75394,0.39304,1.71215,1.09039,1.2389,0.000473668,0.000473668,0.000473668
36,865.86,1.4823,1.05217,1.07969,0.74988,0.72511,0.74457,0.37986,1.70201,1.05775,1.22653,0.000466599,0.000466599,0.000466599
37,888.406,1.43453,1.03271,1.0669,0.79978,0.6979,0.75054,0.38693,1.69782,1.03888,1.24502,0.00045953,0.00045953,0.00045953
