epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.2493,2.292,5.83869,1.54379,0.89502,0.15312,0.2175,0.11028,2.05913,3.43605,1.44528,0.000180324,0.000180324,0.000180324
2,188.596,1.93024,2.60056,1.32262,0.63231,0.43306,0.44541,0.20442,1.94147,2.58556,1.37349,0.000362038,0.000362038,0.000362038
3,289.379,1.87537,2.00751,1.3503,0.73116,0.58475,0.60695,0.30286,1.8725,1.43077,1.39509,0.000540081,0.000540081,0.000540081
4,398.843,1.7953,1.65294,1.30461,0.71272,0.56495,0.60202,0.25277,1.9167,1.45572,1.42654,0.000539487,0.000539487,0.000539487
5,518.859,1.70438,1.43383,1.27721,0.74411,0.593,0.62987,0.29762,1.82381,1.2016,1.35965,0.000533982,0.000533982,0.000533982
6,633.034,1.67573,1.27487,1.28831,0.71514,0.64993,0.69927,0.32862,1.7949,1.03536,1.35153,0.000528478,0.000528478,0.000528478
7,719.827,1.65398,1.20109,1.25133,0.80388,0.6342,0.68813,0.34121,1.74826,1.04166,1.31433,0.000522974,0.000522974,0.000522974
8,805.783,1.65503,1.17659,1.25998,0.8062,0.64714,0.71578,0.35386,1.76156,0.9774,1.32952,0.000517469,0.000517469,0.000517469
9,904.267,1.59173,1.07236,1.21583,0.83046,0.6455,0.71864,0.33446,1.81669,0.9337,1.33906,0.000511965,0.000511965,0.000511965
10,1014.29,1.54937,1.03146,1.20404,0.81679,0.71954,0.73763,0.37547,1.77533,0.88806,1.31778,0.00050646,0.00050646,0.00050646
11,1120.53,1.54136,0.99844,1.20408,0.7664,0.69858,0.74163,0.3727,1.7703,0.89952,1.29447,0.000500956,0.000500956,0.000500956
12,1224.56,1.52828,0.97965,1.19274,0.71434,0.75445,0.71723,0.36754,1.70175,0.92939,1.28046,0.000495452,0.000495452,0.000495452
13,1328.49,1.5404,0.93757,1.19205,0.72999,0.74622,0.77092,0.37022,1.72777,0.87732,1.30544,0.000489947,0.000489947,0.000489947
14,1430.09,1.52576,0.9132,1.19198,0.85806,0.69515,0.7512,0.3606,1.74829,0.87698,1.31078,0.000484443,0.000484443,0.000484443
15,1530.84,1.48851,0.90102,1.16072,0.67957,0.76532,0.76456,0.37186,1.75087,0.90716,1.30382,0.000478938,0.000478938,0.000478938
16,1631.7,1.43366,0.86821,1.15218,0.71452,0.71423,0.73222,0.36153,1.75607,0.834,1.31836,0.000473434,0.000473434,0.000473434
17,1733.45,1.48743,0.8731,1.17594,0.76715,0.76606,0.77661,0.38985,1.68145,0.79226,1.27366,0.00046793,0.00046793,0.00046793
18,1837.97,1.45123,0.86898,1.14995,0.77162,0.77569,0.79747,0.35985,1.73771,0.81498,1.29647,0.000462425,0.000462425,0.000462425
19,1933.97,1.43115,0.83702,1.15452,0.7407,0.83752,0.81852,0.3613,1.76487,0.78638,1.30793,0.000456921,0.000456921,0.000456921
20,2033.41,1.41952,0.82625,1.13775,0.73261,0.74752,0.77004,0.38239,1.70261,0.82164,1.27315,0.000451416,0.000451416,0.000451416
21,2158.8,1.41864,0.81664,1.14102,0.75499,0.7574,0.77604,0.39082,1.73055,0.77894,1.30242,0.000445912,0.000445912,0.000445912
22,2287.95,1.40263,0.79522,1.13635,0.76634,0.75538,0.80089,0.38003,1.73308,0.82493,1.28756,0.000440408,0.000440408,0.000440408
23,2418.99,1.38672,0.76876,1.1326,0.84683,0.79312,0.81802,0.40281,1.70211,0.77209,1.28821,0.000434903,0.000434903,0.000434903
24,2549.34,1.37348,0.7641,1.11976,0.75549,0.76233,0.79028,0.37246,1.79749,0.80749,1.32686,0.000429399,0.000429399,0.000429399
25,2683.88,1.38011,0.74122,1.12306,0.73126,0.76527,0.75643,0.37838,1.77908,0.76428,1.32488,0.000423894,0.000423894,0.000423894
26,2818.54,1.37698,0.75563,1.10555,0.70531,0.83525,0.77688,0.386,1.68807,0.76638,1.28323,0.00041839,0.00041839,0.00041839
27,2951.16,1.3369,0.73082,1.11341,0.78078,0.80455,0.80984,0.40874,1.72844,0.75582,1.30156,0.000412886,0.000412886,0.000412886
28,3082.81,1.34397,0.73711,1.11988,0.82729,0.76692,0.81801,0.36147,1.75521,0.78109,1.29583,0.000407381,0.000407381,0.000407381
29,3211.74,1.32862,0.73021,1.09012,0.78423,0.80476,0.81106,0.42545,1.64319,0.7589,1.25887,0.000401877,0.000401877,0.000401877
30,3345.31,1.32946,0.71593,1.0933,0.74393,0.81414,0.79966,0.40461,1.70487,0.78854,1.29586,0.000396372,0.000396372,0.000396372
31,3480.1,1.31234,0.71053,1.09739,0.76917,0.82363,0.79449,0.37894,1.76908,0.80961,1.31363,0.000390868,0.000390868,0.000390868
32,3615.73,1.29382,0.67798,1.09136,0.77666,0.79085,0.78598,0.41332,1.67831,0.7556,1.27664,0.000385364,0.000385364,0.000385364
33,3750.86,1.26893,0.69909,1.09252,0.86962,0.74071,0.81603,0.4122,1.74565,0.73831,1.31104,0.000379859,0.000379859,0.000379859
34,3881.72,1.26468,0.66681,1.0716,0.71997,0.85416,0.80699,0.40248,1.75194,0.7525,1.32304,0.000374355,0.000374355,0.000374355
35,4003.91,1.25551,0.64461,1.08608,0.83071,0.7815,0.81865,0.40693,1.71314,0.72548,1.30845,0.00036885,0.00036885,0.00036885
36,4116.11,1.22553,0.65325,1.06477,0.79719,0.81462,0.81613,0.38555,1.7362,0.73464,1.31677,0.000363346,0.000363346,0.000363346
37,4235.37,1.24473,0.65264,1.06531,0.80442,0.83331,0.81573,0.39727,1.67661,0.71656,1.31033,0.000357842,0.000357842,0.000357842
38,4351.03,1.20617,0.64188,1.05073,0.77237,0.79209,0.81831,0.39155,1.66547,0.74168,1.28413,0.000352337,0.000352337,0.000352337
39,4468.56,1.1952,0.61963,1.04724,0.77578,0.74574,0.78586,0.37532,1.77996,0.76791,1.34454,0.000346833,0.000346833,0.000346833
40,4580.62,1.2181,0.63797,1.05445,0.80486,0.8311,0.81936,0.37437,1.76776,0.72656,1.34505,0.000341328,0.000341328,0.000341328
41,4693.12,1.18528,0.62269,1.02387,0.80013,0.80122,0.82887,0.39761,1.69341,0.76341,1.28096,0.000335824,0.000335824,0.000335824
42,4796.43,1.1746,0.61964,1.02513,0.78572,0.72976,0.78981,0.3921,1.68643,0.7462,1.2855,0.00033032,0.00033032,0.00033032
43,4905.05,1.14919,0.59355,1.03047,0.81035,0.74797,0.80428,0.39969,1.75378,0.76934,1.30703,0.000324815,0.000324815,0.000324815
44,5009.56,1.16615,0.60906,1.03543,0.78101,0.80873,0.80508,0.41021,1.73145,0.72605,1.31282,0.000319311,0.000319311,0.000319311
45,5116.28,1.16996,0.60102,1.01425,0.75014,0.83948,0.82196,0.43086,1.66438,0.72763,1.28682,0.000313806,0.000313806,0.000313806
46,5223.25,1.1496,0.59808,1.02761,0.77621,0.83114,0.83003,0.42632,1.67969,0.70447,1.28998,0.000308302,0.000308302,0.000308302
47,5327.65,1.14036,0.58939,1.02059,0.82454,0.85763,0.83939,0.41398,1.68904,0.68869,1.29258,0.000302798,0.000302798,0.000302798
48,5432.58,1.16701,0.59318,1.02897,0.90875,0.81859,0.86073,0.39784,1.71616,0.7064,1.31007,0.000297293,0.000297293,0.000297293
49,5538.97,1.11521,0.57028,1.01503,0.85812,0.75888,0.82664,0.4098,1.71552,0.70462,1.30871,0.000291789,0.000291789,0.000291789
50,5645.86,1.10639,0.56909,1.01763,0.79022,0.79805,0.80946,0.39348,1.7528,0.74457,1.30892,0.000286284,0.000286284,0.000286284
51,5753.04,1.08285,0.55876,1.00335,0.88459,0.80319,0.84288,0.4056,1.79923,0.72722,1.36411,0.00028078,0.00028078,0.00028078
52,5857.6,1.11793,0.57463,1.01424,0.83024,0.82502,0.83478,0.41753,1.7151,0.7096,1.32209,0.000275276,0.000275276,0.000275276
53,5962.12,1.07738,0.55815,1.01076,0.88582,0.78963,0.84202,0.42597,1.73523,0.70547,1.3215,0.000269771,0.000269771,0.000269771
54,6066.68,1.08662,0.56248,1.01289,0.81933,0.84966,0.83032,0.42001,1.71039,0.72233,1.29972,0.000264267,0.000264267,0.000264267
55,6171.11,1.09145,0.56099,0.99581,0.77098,0.81018,0.80577,0.40222,1.7453,0.74423,1.31314,0.000258762,0.000258762,0.000258762
56,6279.42,1.05285,0.54288,0.99016,0.76921,0.84186,0.8211,0.39265,1.75245,0.73127,1.33166,0.000253258,0.000253258,0.000253258
57,6384.14,1.04945,0.54168,0.98667,0.82822,0.80245,0.82956,0.40526,1.72634,0.71957,1.31689,0.000247754,0.000247754,0.000247754
58,6488.99,1.03347,0.52858,0.98077,0.86974,0.80123,0.83475,0.39117,1.71959,0.7506,1.3224,0.000242249,0.000242249,0.000242249
59,6590.17,1.07129,0.55985,0.98005,0.92674,0.78543,0.8649,0.39947,1.76036,0.72481,1.34974,0.000236745,0.000236745,0.000236745
60,6692.08,1.04853,0.53139,0.98527,0.84784,0.77859,0.80887,0.40198,1.77214,0.7458,1.35297,0.00023124,0.00023124,0.00023124
