epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4168,3.02058,8.67401,1.85777,5e-05,0.02468,6e-05,2e-05,2.65393,7.76772,1.46604,2.074e-05,2.074e-05,2.074e-05
2,111.293,2.68464,7.05649,1.62515,0.00088,0.0288,0.00014,6e-05,2.3855,7.04354,1.36796,4.24182e-05,4.24182e-05,4.24182e-05
3,171.744,2.4057,6.11484,1.42032,0.00121,0.06443,0.00316,0.00148,2.17926,5.9679,1.29009,6.38065e-05,6.38065e-05,6.38065e-05
4,233.78,2.23858,5.30476,1.33199,0.89792,0.01308,0.00791,0.00389,2.0171,5.29813,1.2312,8.49049e-05,8.49049e-05,8.49049e-05
5,307.426,2.13568,4.66547,1.24132,0.73758,0.02338,0.01641,0.00923,1.92753,4.53682,1.20091,0.000105713,0.000105713,0.000105713
6,389.057,2.07106,4.27921,1.20494,0.78327,0.0268,0.0309,0.01672,1.84419,3.96484,1.15567,0.000117974,0.000117974,0.000117974
7,472.446,2.00988,3.91955,1.17728,0.56225,0.06693,0.05463,0.03149,1.83986,3.72389,1.13535,0.000117169,0.000117169,0.000117169
8,549.861,1.88805,3.60268,1.17834,0.74444,0.09615,0.09851,0.05862,1.71655,3.35609,1.12576,0.000116364,0.000116364,0.000116364
9,618.894,1.88281,3.56765,1.15171,0.65076,0.11314,0.12111,0.07835,1.71787,3.21005,1.1034,0.000115558,0.000115558,0.000115558
10,680.952,1.8758,3.33679,1.15293,0.66529,0.15497,0.16671,0.10589,1.66183,2.95767,1.08806,0.000114753,0.000114753,0.000114753
11,731.947,1.74533,3.08587,1.13036,0.71201,0.16098,0.18486,0.11394,1.68326,2.8931,1.08564,0.000113948,0.000113948,0.000113948
12,780.742,1.81875,2.89054,1.11645,0.69151,0.17361,0.20063,0.12038,1.78147,2.77388,1.11233,0.000113143,0.000113143,0.000113143
13,828.341,1.71369,2.7007,1.10051,0.72427,0.19662,0.26049,0.16401,1.61281,2.50355,1.0676,0.000112338,0.000112338,0.000112338
14,870.237,1.7326,2.728,1.09785,0.73031,0.24771,0.2887,0.17964,1.6766,2.51086,1.08076,0.000111532,0.000111532,0.000111532
15,914.011,1.70678,2.57056,1.09473,0.71247,0.27467,0.31485,0.20676,1.56486,2.29526,1.05304,0.000110727,0.000110727,0.000110727
16,955.57,1.67865,2.46382,1.09604,0.71248,0.29808,0.34434,0.22162,1.51476,2.1237,1.04571,0.000109922,0.000109922,0.000109922
17,1000.54,1.66833,2.40482,1.0807,0.67857,0.33266,0.37688,0.24876,1.51671,2.016,1.04287,0.000109117,0.000109117,0.000109117
18,1045.3,1.69469,2.29843,1.08514,0.75942,0.34873,0.43043,0.28447,1.48118,1.876,1.03623,0.000108312,0.000108312,0.000108312
19,1091.76,1.63125,2.13766,1.07885,0.82589,0.33028,0.45205,0.29739,1.47283,1.86897,1.03878,0.000107506,0.000107506,0.000107506
20,1135.94,1.63274,2.11112,1.06164,0.75395,0.38236,0.4744,0.30271,1.54308,1.79709,1.057,0.000106701,0.000106701,0.000106701
21,1181.71,1.64951,2.09725,1.06766,0.71908,0.43794,0.52135,0.34389,1.45781,1.70014,1.03486,0.000105896,0.000105896,0.000105896
22,1224.4,1.62209,1.93403,1.07017,0.69513,0.44829,0.51419,0.33634,1.49215,1.68929,1.04431,0.000105091,0.000105091,0.000105091
23,1265.2,1.66081,1.90353,1.09423,0.69612,0.5052,0.56073,0.36826,1.40215,1.53092,1.02111,0.000104286,0.000104286,0.000104286
24,1303.5,1.57254,1.79847,1.05645,0.76997,0.47421,0.5867,0.3806,1.42294,1.47843,1.01982,0.00010348,0.00010348,0.00010348
25,1345.27,1.6234,1.89944,1.05463,0.76522,0.48012,0.60027,0.3816,1.4952,1.53723,1.0377,0.000102675,0.000102675,0.000102675
26,1385.77,1.55283,1.68573,1.04874,0.83594,0.48636,0.62796,0.42515,1.37155,1.42376,1.01289,0.00010187,0.00010187,0.00010187
27,1426.56,1.50093,1.61631,1.03967,0.84178,0.47565,0.64734,0.42586,1.42994,1.45371,1.0212,0.000101065,0.000101065,0.000101065
28,1467.82,1.54642,1.63761,1.04009,0.82328,0.51187,0.66662,0.44307,1.34106,1.32347,0.99401,0.00010026,0.00010026,0.00010026
29,1507.92,1.52231,1.57278,1.03775,0.82501,0.4995,0.66971,0.44198,1.34693,1.31237,0.99364,9.94544e-05,9.94544e-05,9.94544e-05
30,1546.97,1.48409,1.55842,1.03017,0.78687,0.57419,0.71103,0.46627,1.31068,1.25641,0.98357,9.86492e-05,9.86492e-05,9.86492e-05
31,1584.9,1.51575,1.53569,1.01314,0.81834,0.53798,0.71429,0.46051,1.35951,1.25085,0.99691,9.7844e-05,9.7844e-05,9.7844e-05
32,1625.76,1.47736,1.48795,1.02051,0.72928,0.65001,0.73952,0.49183,1.28829,1.16544,0.98126,9.70388e-05,9.70388e-05,9.70388e-05
33,1665.34,1.49999,1.43293,1.01332,0.74856,0.63895,0.74894,0.49275,1.28267,1.16944,0.97882,9.62336e-05,9.62336e-05,9.62336e-05
34,1704.06,1.43072,1.44942,1.01028,0.75917,0.65431,0.7681,0.50734,1.27361,1.12337,0.97607,9.54284e-05,9.54284e-05,9.54284e-05
35,1742.33,1.41799,1.33338,1.00842,0.74768,0.69065,0.76656,0.50487,1.27926,1.10475,0.97682,9.46232e-05,9.46232e-05,9.46232e-05
36,1779.08,1.47269,1.41162,1.01256,0.80395,0.63193,0.76914,0.50097,1.3198,1.10069,0.98146,9.3818e-05,9.3818e-05,9.3818e-05
37,1815.87,1.49619,1.44698,1.02912,0.72753,0.71583,0.77908,0.52058,1.25619,1.08744,0.96405,9.30128e-05,9.30128e-05,9.30128e-05
38,1852.73,1.4817,1.30596,1.02148,0.79116,0.65868,0.78377,0.4981,1.35049,1.07363,0.98614,9.22076e-05,9.22076e-05,9.22076e-05
39,1887.46,1.43865,1.25639,1.01274,0.83446,0.71026,0.82111,0.56063,1.20571,0.99136,0.9552,9.14024e-05,9.14024e-05,9.14024e-05
40,1924.2,1.43295,1.27307,1.0083,0.75072,0.7598,0.82816,0.54606,1.27459,0.99555,0.96827,9.05972e-05,9.05972e-05,9.05972e-05
41,1962.9,1.37216,1.21404,0.99513,0.79045,0.75471,0.83449,0.56671,1.20751,0.96626,0.95224,8.9792e-05,8.9792e-05,8.9792e-05
42,1998.97,1.44893,1.23689,1.00034,0.86119,0.70515,0.84951,0.57619,1.20903,0.95857,0.95035,8.89868e-05,8.89868e-05,8.89868e-05
43,2036.11,1.46833,1.26734,1.02618,0.8179,0.76484,0.86847,0.5922,1.19039,0.95042,0.945,8.81816e-05,8.81816e-05,8.81816e-05
44,2071.72,1.33971,1.1598,0.99143,0.81289,0.79127,0.87458,0.60725,1.19477,0.92736,0.94544,8.73764e-05,8.73764e-05,8.73764e-05
45,2109.03,1.38135,1.17911,0.99442,0.80762,0.80514,0.87774,0.6037,1.20703,0.9226,0.94341,8.65712e-05,8.65712e-05,8.65712e-05
46,2144.7,1.36917,1.18029,0.98572,0.80514,0.80745,0.87982,0.6098,1.196,0.91521,0.93927,8.5766e-05,8.5766e-05,8.5766e-05
47,2178.7,1.3334,1.13446,0.98597,0.83611,0.78819,0.87868,0.59987,1.20278,0.89151,0.94087,8.49608e-05,8.49608e-05,8.49608e-05
48,2215.16,1.32671,1.10984,0.96938,0.7694,0.8378,0.89877,0.6236,1.13548,0.86886,0.92563,8.41556e-05,8.41556e-05,8.41556e-05
49,2250.77,1.37446,1.09812,0.98104,0.79641,0.82637,0.90389,0.63001,1.14351,0.89559,0.92896,8.33504e-05,8.33504e-05,8.33504e-05
50,2286.02,1.32836,1.08952,0.96754,0.82661,0.82188,0.91494,0.63094,1.13427,0.82173,0.91137,8.25452e-05,8.25452e-05,8.25452e-05
51,2322.41,1.36768,1.08908,0.98395,0.8093,0.85266,0.91166,0.64094,1.13538,0.83914,0.92689,8.174e-05,8.174e-05,8.174e-05
52,2358.92,1.33332,1.06884,0.97895,0.8259,0.84129,0.89825,0.61078,1.22194,0.86124,0.94487,8.09348e-05,8.09348e-05,8.09348e-05
53,2393.78,1.29511,1.09762,0.96927,0.8459,0.81806,0.89857,0.627,1.15017,0.8686,0.9294,8.01296e-05,8.01296e-05,8.01296e-05
54,2429.12,1.31002,1.03366,0.96527,0.80653,0.80465,0.89971,0.60219,1.17856,0.84478,0.93831,7.93244e-05,7.93244e-05,7.93244e-05
55,2463.46,1.2773,1.03961,0.96181,0.77178,0.86469,0.90607,0.63804,1.09076,0.80573,0.91912,7.85192e-05,7.85192e-05,7.85192e-05
56,2499.01,1.31334,1.0374,0.97293,0.82811,0.81992,0.90977,0.63875,1.10076,0.82703,0.91891,7.7714e-05,7.7714e-05,7.7714e-05
57,2532.54,1.26961,0.98772,0.97146,0.87249,0.77322,0.91469,0.64887,1.07871,0.80549,0.91481,7.69088e-05,7.69088e-05,7.69088e-05
58,2567.22,1.28657,0.99063,0.95102,0.85393,0.7885,0.90134,0.62824,1.13359,0.80128,0.9246,7.61036e-05,7.61036e-05,7.61036e-05
59,2603.8,1.28821,0.99385,0.9698,0.89525,0.77038,0.91483,0.66129,1.05004,0.77041,0.90893,7.52984e-05,7.52984e-05,7.52984e-05
60,2639.71,1.27704,0.97552,0.96082,0.91088,0.75984,0.92669,0.65013,1.12572,0.77757,0.92075,7.44932e-05,7.44932e-05,7.44932e-05
61,2676.35,1.24677,0.98634,0.96501,0.82271,0.85363,0.9314,0.67751,1.04185,0.72901,0.90542,7.3688e-05,7.3688e-05,7.3688e-05
62,2710.25,1.27573,1.00271,0.954,0.86493,0.85374,0.93205,0.67396,1.07744,0.74285,0.9117,7.28828e-05,7.28828e-05,7.28828e-05
63,2744.85,1.23411,0.94308,0.95229,0.8961,0.83164,0.93247,0.67471,1.04934,0.72926,0.90465,7.20776e-05,7.20776e-05,7.20776e-05
64,2777,1.2142,0.94411,0.9429,0.87049,0.84693,0.92426,0.67438,1.05556,0.74921,0.90483,7.12724e-05,7.12724e-05,7.12724e-05
65,2811.98,1.26494,0.95479,0.95112,0.85692,0.83383,0.92344,0.6711,1.05343,0.74331,0.90383,7.04672e-05,7.04672e-05,7.04672e-05
66,2846.56,1.22288,0.92385,0.95346,0.80683,0.87543,0.92449,0.67069,1.03861,0.73969,0.9006,6.9662e-05,6.9662e-05,6.9662e-05
67,2878.95,1.19838,0.89678,0.95517,0.73524,0.90462,0.92265,0.66589,1.04226,0.72797,0.90133,6.88568e-05,6.88568e-05,6.88568e-05
68,2913.54,1.20087,0.88996,0.93848,0.83402,0.87506,0.9263,0.66446,1.05578,0.72821,0.90385,6.80516e-05,6.80516e-05,6.80516e-05
69,2948.12,1.18926,0.91022,0.93453,0.85905,0.85976,0.92067,0.67759,1.01807,0.71727,0.89722,6.72464e-05,6.72464e-05,6.72464e-05
70,2982.03,1.19476,0.90189,0.93994,0.8013,0.89317,0.91853,0.67673,1.02295,0.72092,0.89602,6.64412e-05,6.64412e-05,6.64412e-05
71,3014.91,1.22254,0.9285,0.93276,0.84545,0.85349,0.92588,0.65792,1.08338,0.73546,0.90638,6.5636e-05,6.5636e-05,6.5636e-05
72,3048.36,1.22031,0.92638,0.9449,0.8034,0.90661,0.9372,0.69615,0.99157,0.69584,0.88915,6.48308e-05,6.48308e-05,6.48308e-05
73,3084.06,1.21571,0.90281,0.93774,0.86477,0.8531,0.93616,0.6844,1.03455,0.70255,0.8961,6.40256e-05,6.40256e-05,6.40256e-05
74,3120.37,1.18075,0.87594,0.92032,0.85426,0.86673,0.94047,0.69819,0.98773,0.68058,0.88551,6.32204e-05,6.32204e-05,6.32204e-05
75,3153.68,1.18644,0.87128,0.93352,0.8504,0.88114,0.94176,0.69608,0.99093,0.68103,0.88668,6.24152e-05,6.24152e-05,6.24152e-05
76,3184.28,1.1849,0.89637,0.94251,0.83441,0.89718,0.94381,0.69441,0.97724,0.67257,0.88403,6.161e-05,6.161e-05,6.161e-05
77,3217.43,1.16165,0.86089,0.93903,0.89045,0.84164,0.94199,0.69445,0.99968,0.6793,0.88795,6.08048e-05,6.08048e-05,6.08048e-05
78,3254.52,1.16213,0.85218,0.92878,0.874,0.86755,0.94464,0.69687,1.00801,0.68682,0.88986,5.99996e-05,5.99996e-05,5.99996e-05
79,3290.84,1.1731,0.85409,0.9386,0.8406,0.89549,0.93824,0.70228,0.95394,0.66021,0.87982,5.91944e-05,5.91944e-05,5.91944e-05
80,3324.85,1.15737,0.85277,0.92787,0.80412,0.93267,0.94544,0.68838,1.03512,0.6832,0.89626,5.83892e-05,5.83892e-05,5.83892e-05
81,3356.55,1.16704,0.84686,0.93492,0.83021,0.9174,0.94369,0.71975,0.94907,0.6564,0.87955,5.7584e-05,5.7584e-05,5.7584e-05
82,3387.87,1.17965,0.88934,0.92916,0.87086,0.88756,0.93694,0.6984,0.96893,0.65558,0.88222,5.67788e-05,5.67788e-05,5.67788e-05
83,3420.68,1.14139,0.82914,0.9168,0.83885,0.90762,0.93776,0.69421,0.98219,0.66662,0.88499,5.59736e-05,5.59736e-05,5.59736e-05
84,3453.24,1.14176,0.85521,0.9209,0.85465,0.9077,0.9375,0.70314,0.93411,0.64817,0.87732,5.51684e-05,5.51684e-05,5.51684e-05
85,3487.37,1.16206,0.81435,0.91625,0.83279,0.92783,0.9475,0.69961,1.01153,0.66069,0.89083,5.43632e-05,5.43632e-05,5.43632e-05
86,3520.74,1.14028,0.84235,0.92031,0.86563,0.91936,0.94879,0.70437,0.96181,0.644,0.88121,5.3558e-05,5.3558e-05,5.3558e-05
87,3553.09,1.0896,0.82398,0.92698,0.8586,0.91241,0.94728,0.70745,0.95465,0.65193,0.87962,5.27528e-05,5.27528e-05,5.27528e-05
88,3585.03,1.15051,0.82603,0.90988,0.86106,0.92052,0.9481,0.69657,1.00548,0.67103,0.88919,5.19476e-05,5.19476e-05,5.19476e-05
89,3616.35,1.12742,0.8132,0.92551,0.85816,0.91845,0.9484,0.71595,0.9416,0.64758,0.87927,5.11424e-05,5.11424e-05,5.11424e-05
90,3649.53,1.13749,0.8022,0.91452,0.84826,0.9066,0.93927,0.68938,1.03954,0.67607,0.89555,5.03372e-05,5.03372e-05,5.03372e-05
91,3680.61,1.11535,0.80328,0.91583,0.88595,0.8883,0.94266,0.71487,0.94817,0.64569,0.87826,4.9532e-05,4.9532e-05,4.9532e-05
92,3711.52,1.07131,0.78419,0.91041,0.86216,0.9114,0.94368,0.71561,0.92582,0.63299,0.87456,4.87268e-05,4.87268e-05,4.87268e-05
93,3742.08,1.0834,0.7835,0.90631,0.8582,0.90872,0.94431,0.71162,0.9327,0.64739,0.87598,4.79216e-05,4.79216e-05,4.79216e-05
94,3774.19,1.09502,0.79508,0.91823,0.865,0.93066,0.95162,0.71945,0.91862,0.63794,0.87268,4.71164e-05,4.71164e-05,4.71164e-05
95,3805.29,1.09645,0.7977,0.91571,0.90027,0.90337,0.95425,0.72591,0.91708,0.62288,0.87256,4.63112e-05,4.63112e-05,4.63112e-05
96,3836.17,1.08715,0.81364,0.91082,0.89503,0.89384,0.95111,0.71412,0.94637,0.63181,0.87758,4.5506e-05,4.5506e-05,4.5506e-05
